index,Year,Quarter,LocationAbbr,LocationDesc,HealthTopic,PolicyTopic,DataSource,Setting,Title,Status,Citation,StatusAltValue
3182,2009,1,ME,Maine,Physical Activity,Built Environment and Street-Scale Design,DNPAO,Community,Energy Use Study,Enacted,H582,1
3183,2010,1,MO,Missouri,Nutrition,Access to Healthy Foods,DNPAO,Community,Urban Farming Task Force,Enacted,H1848,1
3184,2009,1,MA,Massachusetts,Physical Activity,Public Safety,DNPAO,Community,Land Use and Community Housing Development,Dead,S2482,3
3185,2010,1,MN,Minnesota,Obesity,Food Restrictions,DNPAO,Restaurant/Retail,Capital Investment,Dead,S2287,3
3186,2015,1,MN,Minnesota,Physical Activity,Safe Routes to Schools,DNPAO,Community,Transportation Appropriations,Introduced,SB228,0
3187,2003,1,CA,California,Nutrition,Initiatives and Programs,DNPAO,School/After School,Assembly Concurrent Resolution<br>,Enacted,ACR16,1
3188,2013,1,NY,New York,Physical Activity,Task Forces/Councils,DNPAO,Community,An Act to Amend the Executive Law and the State Finance Law,Introduced,SB2552,0
3189,2011,1,KY,Kentucky,Nutrition,Agriculture and Farming,DNPAO,School/After School,Executive Branch Budget Bill Amendment,Dead,H305,3
3190,2009,1,MA,Massachusetts,Physical Activity,Incentives,DNPAO,School/After School,Healthy Child Scholarship,Dead,S602,3
3191,2015,2,WA,Washington,Nutrition,Fruits and Vegetables,DNPAO,School/After School,An act relating to the capital budget,Enacted,HB1115,1
3192,2009,1,KY,Kentucky,Physical Activity,Pedestrians/Walking,DNPAO,Community,Bicycle And Pedestrian Safety,Dead,BR51,3
3193,2011,1,IN,Indiana,Obesity,Appropriations,DNPAO,School/After School,Farm to School Plan,Dead,H1305,3
3194,2011,1,GA,Georgia,Nutrition,Fruits and Vegetables,DNPAO,Restaurant/Retail,Farm to School Programs,Enacted,SR508,1
3195,2011,1,NY,New York,Nutrition,Farm Direct Foods,DNPAO,Community,Statewide and Regional Farm Guides,Dead,A6811,3
3196,2016,3,CA,California,Nutrition,Healthier Food Retail and Food Deserts,DNPAO,Community,Public health: food access.,Enacted,AB2635,1
3197,2011,1,VT,Vermont,Physical Activity,Bicycling,DNPAO,Community,Capital Construction Appropriations,Enacted,H446,1
3198,2009,1,HI,Hawaii,Nutrition,Appropriations,DNPAO,Restaurant/Retail,Procurement Code,Dead,H1683,3
3199,2009,1,CT,Connecticut,Obesity,Body Mass Index (BMI),DNPAO,Community,Tax Credit for Green Buildings,Vetoed,S1033,2
3200,2011,1,MS,Mississippi,Obesity,Appropriations,DNPAO,Restaurant/Retail,Food Reduced Sales Taxes,Dead,H122,3
3201,2011,1,TX,Texas,Obesity,Body Mass Index (BMI),DNPAO,Community,Specific Management District Creation and Tax,Dead,H425,3
3202,2012,1,CA,California,Nutrition,Appropriations,DNPAO,School/After School,An Act Making Appropriations<br>,Dead,A1463,3
3203,2010,1,KY,Kentucky,Physical Activity,School Siting,DNPAO,Community,Appropriations and Revenue,Dead,H290,3
3204,2009,1,FL,Florida,Obesity,Menu Labeling,DNPAO,Community,Community Development Districts,Enacted,H821,1
3205,2011,1,HI,Hawaii,Nutrition,Access to Healthy Foods,DNPAO,School/After School,Agribusiness,Dead,H1496,3
3206,2011,1,OR,Oregon,Nutrition,Healthier Food Retail and Food Deserts,DNPAO,Restaurant/Retail,The Taxation of Sugar Sweetened Beverages,Dead,H2644,3
3207,2011,1,AR,Arkansas,Nutrition,School Nutrition,DNPAO,Early Care and Education,Childhood Education Appropriation,Dead,H1671,3
3208,2005,1,DE,Delaware,Physical Activity,Appropriations,DNPAO,School/After School,Statewide Health Advisory Council,Enacted,S289,1
3209,2011,1,HI,Hawaii,Obesity,Appropriations,DNPAO,Community,Loss of Agricultural Lands Task Force,Dead,HCR200,3
3210,2011,1,RI,Rhode Island,Physical Activity,Bicycling,DNPAO,Community,Highways,Dead,S952,3
3211,2010,1,HI,Hawaii,Nutrition,Task Forces/Councils,DNPAO,Community,Healthy Lifestyle Education,Dead,HCR120,3
3212,2010,1,OK,Oklahoma,Physical Activity,Public Safety,DNPAO,Community,Cities and Towns,Dead,H3022,3
3213,2003,1,ME,Maine,Nutrition,Food Security,DNPAO,School/After School,An Act to Study Obesity and Methods to Reduce the Cost of Health Care and Increase the Public Health<br>,Enacted,H363,1
3214,2011,1,OH,Ohio,Nutrition,Task Forces/Councils,DNPAO,Work Place,County Auditors Responsibility Property Tax Exemptions,Dead,H225,3
3215,2011,1,TX,Texas,Nutrition,Appropriations,DNPAO,School/After School,Public School Campus Improvement Plans,Dead,S225,3
3216,2010,1,MA,Massachusetts,Nutrition,Farm Direct Foods,DNPAO,School/After School,School Nutrition,Dead,S2314,3
3217,2011,1,WA,Washington,Nutrition,Incentives,DNPAO,Community,Categorical Exemptions,Dead,H1713,3
3218,2010,1,MD,Maryland,Obesity,Menu Labeling,DNPAO,Community,State Highway Administration,Enacted,H786,1
3219,2011,1,WY,Wyoming,Obesity,Appropriations,DNPAO,Community,Wyoming Food Freedom Act,Dead,H228,3
3220,2005,1,RI,Rhode Island,Physical Activity,Bicycling,DNPAO,Community,Bicycle Facilities,Enacted,H5451,1
3221,2011,1,HI,Hawaii,Physical Activity,Pedestrians/Walking,DNPAO,School/After School,Public Safety,Dead,S932,3
3222,2002,1,ID,Idaho,Nutrition,Vending,DNPAO,Community,Landowner Liability,Enacted,HO601,1
3223,2010,1,VT,Vermont,Physical Activity,Appropriations,DNPAO,Community,Amendment to the Charter of the City of Burlington,Enacted,H95,1
3224,2010,1,DC,District of Columbia,Nutrition,Correctional Facilities Farms Programs,DNPAO,Medical and/or Hospital,Hospital and Medical Services Corporation,Enacted,B401,1
3225,2005,1,OR,Oregon,Nutrition,Food Assistance Programs,DNPAO,Community,Department of Human Services,Enacted,S289,1
3226,2011,1,TX,Texas,Physical Activity,Task Forces/Councils,DNPAO,School/After School,School Health Advisory Council Annual Reports,Dead,H1097,3
3227,2011,1,TX,Texas,Nutrition,Healthier Food Retail and Food Deserts,DNPAO,School/After School,Programs to Improve Health of Public School Students,Dead,HJR9,3
3228,2009,1,HI,Hawaii,Nutrition,Appropriations,DNPAO,Restaurant/Retail,Appropriation,Dead,H2470,3
3229,2009,1,LA,Louisiana,Obesity,Appropriations,DNPAO,Community,Income Tax Credit,Dead,H871,3
3230,2011,1,VT,Vermont,Nutrition,Farmers Markets,DNPAO,Community,Sugar-Sweetened Beverages,Dead,H151,3
3231,2011,1,MI,Michigan,Nutrition,Farm Direct Foods,DNPAO,Restaurant/Retail,Agriculture Industry,Dead,H4531,3
3232,2011,1,NY,New York,Nutrition,Sodium,DNPAO,Restaurant/Retail,Food Items Containing Trans Fats,Dead,A1018,3
3233,2011,1,FL,Florida,Obesity,Liability and Indemnity,DNPAO,Medical and/or Hospital,State Employees Health Insurance Benefits,Dead,S7096,3
3234,2009,1,MI,Michigan,Nutrition,Appropriations,DNPAO,Community,Farmers Markets,Enacted,S935,1
3235,2011,1,KY,Kentucky,Nutrition,Appropriations,DNPAO,Work Place,State Employee Health Insurance,Dead,H32,3
3236,2003,1,CA,California,Nutrition,Healthier Food Retail and Food Deserts,DNPAO,School/After School,School District Governing Boards: Contracts,Enacted,SB65,1
3237,2010,1,MD,Maryland,Obesity,Appropriations,DNPAO,School/After School,Interscholastic Athletics in the State,Enacted,R10065,1
3238,2009,1,MN,Minnesota,Obesity,Appropriations,DNPAO,Community,Education,Dead,S1328,3
3239,2009,1,ME,Maine,Nutrition,Appropriations,DNPAO,Community,"Women, Infants and Children (WIC) Nutrition Program",Enacted,R9210,1
3240,2012,1,MA,Massachusetts,Obesity,Initiatives and Programs,DNPAO,School/After School,An Act Improving the Quality of Health Care<br>,Dead,S2262,3
3241,2009,1,PA,Pennsylvania,Physical Activity,Built Environment and Street-Scale Design,DNPAO,Community,Driving Regulations,Dead,H67,3
3242,2013,1,DC,District of Columbia,Nutrition,Disparities/Equity,DNPAO,Community,Health Enterprise Zone Act of 2013,Introduced,B411,0
3243,2011,1,AZ,Arizona,Nutrition,Agriculture and Farming,DNPAO,Community,Flood Control District Regulations,Enacted,S1598,1
3244,2012,1,NY,New York,Nutrition,Fruits and Vegetables,DNPAO,School/After School,An Act in Relation to Combating Incidences of Adult and Childhood Obesity,Dead,S7114,3
3245,2009,1,VT,Vermont,Physical Activity,Physical Activity Requirements,DNPAO,School/After School,Special Education Rules,Enacted,R1224,1
3246,2010,1,CA,California,Physical Activity,Disparities/Equity,DNPAO,Work Place,Health and Human Services: Federal Grant Opportunities,Dead,A70,3
3247,2011,1,CA,California,Physical Activity,Safe Routes to Schools,DNPAO,Restaurant/Retail,Taxation: Sweetened Beverage Tax: Children's Health,Dead,A669,3
3248,2009,1,MA,Massachusetts,Physical Activity,Built Environment and Street-Scale Design,DNPAO,Community,Transportation System Modernization,Enacted,S2087,1
3249,2010,1,MS,Mississippi,Physical Activity,Appropriations,DNPAO,Community,Capital Improvements Revolving Loan Program,Enacted,R12426,1
3250,2014,3,DC,District of Columbia,Nutrition,Initiatives and Programs,DNPAO,Work Place,Workplace Wellness Act and Healthy Tots Act of 2014,Enacted,B750,1
3251,2011,1,MD,Maryland,Nutrition,Access to Healthy Foods,DNPAO,School/After School,Maryland Food and Nutrition Policy Council,Dead,H441,3
3252,2011,1,MS,Mississippi,Obesity,Food Restrictions,DNPAO,Community,Egg Producers,Enacted,R12690,1
3253,2010,1,CA,California,Obesity,Menu Labeling,DNPAO,Community,Local Government: Community Facilities Districts,Dead,S1048,3
3254,2005,1,MA,Massachusetts,Nutrition,Fruits and Vegetables,DNPAO,Community,An Act Relative to Economic Investments in the Commonwealth <br>,Enacted,H5057,1
3255,2002,1,NJ,New Jersey,Nutrition,Access to Healthy Foods,DNPAO,Community,An Act Making Appropriations <br>,Enacted,S2003,1
3256,2011,1,MT,Montana,Nutrition,Breastfeeding,DNPAO,Early Care and Education,Early Childhood Health Promotion,Dead,D280,3
3257,2010,1,IN,Indiana,Obesity,Appropriations,DNPAO,Community,Designation of Communities for a Lifetime,Dead,S287,3
3258,2010,1,NC,North Carolina,Physical Activity,Pedestrians/Walking,DNPAO,Community,Base Budget Appropriations,Enacted,S202,1
3259,2010,1,FL,Florida,Nutrition,Farmers Markets,DNPAO,Restaurant/Retail,Appropriations,Dead,S2804,3
3260,2009,1,MA,Massachusetts,Obesity,Disparities/Equity,DNPAO,Community,Student Nutrition and Wellness,Dead,HD1736,3
3261,2013,1,HI,Hawaii,Obesity,Initiatives and Programs,DNPAO,Community,An Act Relating to Obesity Prevention,Introduced,SB1085,0
3262,2011,1,CO,Colorado,Nutrition,Medical Care,DNPAO,Community,Bicycle Traffic,Dead,H1092,3
3263,2012,1,NY,New York,Obesity,Menu Labeling,DNPAO,Work Place,Relates to Obesity Prevention<br>,Dead,S6423,3
3264,2009,1,NY,New York,Nutrition,Incentives,DNPAO,Community,Senior Benefits Card Program,Dead,A1711,3
3265,2010,1,HI,Hawaii,Nutrition,Agriculture and Farming,DNPAO,Community,Local Agricultural Producers and Retailers,Dead,SCR90,3
3266,2015,1,NY,New York,Nutrition,Initiatives and Programs,DNPAO,Restaurant/Retail,Restaurant Nutrition Standards,Introduced,SB779,0
3267,2013,1,GA,Georgia,Physical Activity,Physical Education Requirements,DNPAO,Community,United Against Childhood Obesity Day at the Capitol,Enacted,HR862,1
3268,2011,1,IL,Illinois,Obesity,Appropriations,DNPAO,Community,Innovation Development and Economy Act,Enacted,S1712,1
3269,2015,1,NY,New York,Nutrition,Media Campaigns,DNPAO,Restaurant/Retail,Trans fat reduction; breastfeeding rights; BMI in schools; PE/PA requirements; Bicycle parking,Introduced,AB6548,0
3270,2010,1,NY,New York,Nutrition,Media Campaigns,DNPAO,Restaurant/Retail,Commissioner of Economic Development,Vetoed,S6673,2
3271,2010,1,DC,District of Columbia,Physical Activity,Built Environment and Street-Scale Design,DNPAO,Restaurant/Retail,Fiscal Year 2010 Budget Support Act,Enacted,B18203,1
3272,2011,1,RI,Rhode Island,Physical Activity,Pedestrians/Walking,DNPAO,School/After School,State Affairs and Government,Dead,H5821,3
3273,2010,1,MI,Michigan,Nutrition,Appropriations,DNPAO,Community,Food Desert Oasis Act,Enacted,HCR41,1
3274,2011,1,ID,Idaho,Obesity,Body Mass Index (BMI),DNPAO,Community,Local Land Use Planning and Production,Enacted,H148,1
3275,2012,1,NJ,New Jersey,Obesity,Body Mass Index (BMI),DNPAO,Work Place,State Employee Wellness Incentive Programs<br>,Dead,A3150,3
3276,2011,1,TX,Texas,Obesity,Appropriations,DNPAO,Community,Creation of Harris County Improvement District No 22,Dead,H3810,3
3277,2010,1,WV,West Virginia,Nutrition,Appropriations,DNPAO,Community,Appropriations of Public Money,Dead,H4025,3
3278,2004,1,WV,West Virginia,Nutrition,Food Assistance Programs,DNPAO,Community,An Act Making Appropriations<br>,Enacted,S133,1
3279,2009,1,WV,West Virginia,Nutrition,Appropriations,DNPAO,School/After School,Healthy Beverages,Dead,H2588,3
3280,2009,1,NY,New York,Nutrition,Vending,DNPAO,School/After School,Foods and Beverages on School Property,Dead,A7124,3
3281,2005,1,HI,Hawaii,Physical Activity,Pedestrians/Walking,DNPAO,Community,Traffic Offenses,Enacted,H438,1
3282,2009,1,MN,Minnesota,Nutrition,Access to Healthy Foods,DNPAO,Community,Employment,Dead,H1747,3
3283,2016,2,LA,Louisiana,Nutrition,Farm Direct Foods,DNPAO,Community,BESE: Requires BESE and the Dept. of Agriculture and Forestry to develop and implement a Farm to School Program,Enacted,SB420,1
3284,2009,1,FL,Florida,Physical Activity,Media Campaigns,DNPAO,Work Place,Healthy and Fit Florida Act,Dead,S2614,3
3285,2011,1,SC,South Carolina,Nutrition,School Nutrition,DNPAO,School/After School,Local Food in Schools,Dead,S812,3
3286,2010,1,VA,Virginia,Obesity,Appropriations,DNPAO,School/After School,Public Schools,Dead,S934,3
3287,2009,1,OH,Ohio,Nutrition,School Nutrition,DNPAO,School/After School,Nutritional Standards,Dead,H373,3
3288,2010,1,NJ,New Jersey,Obesity,Menu Labeling,DNPAO,Community,Smart Housing Incentives Act,Dead,A1752,3
3289,2009,1,WA,Washington,Obesity,Food Restrictions,DNPAO,Restaurant/Retail,A Meat And Poultry Inspection Program,Dead,S5517,3
3290,2011,1,HI,Hawaii,Nutrition,Task Forces/Councils,DNPAO,Community,Loss of Agricultural Lands Task Force,Dead,HCR200,3
3291,2009,1,HI,Hawaii,Nutrition,Appropriations,DNPAO,Community,Heart Healthy Working Group,Dead,S1297,3
3292,2011,1,SD,South Dakota,Nutrition,Healthier Food Retail and Food Deserts,DNPAO,Restaurant/Retail,Sales Tax Rates,Dead,H1131,3
3293,2014,3,MA,Massachusetts,Physical Activity,Appropriations,DNPAO,Community,Appropriations,Introduced,SB2242,0
3294,2009,1,FL,Florida,Physical Activity,Incentives,DNPAO,School/After School,School Wellness and Physical Education Policies,Dead,S196,3
3295,2010,1,WI,Wisconsin,Nutrition,Appropriations,DNPAO,Work Place,Public Breast Feeding,Enacted,A57,1
3296,2010,1,HI,Hawaii,Nutrition,Appropriations,DNPAO,Community,Aliomanu Road Reconstruction,Dead,S2060,3
3297,2009,1,NE,Nebraska,Nutrition,Appropriations,DNPAO,School/After School,Farm Commodities Study,Dead,LR42,3
3298,2010,1,CT,Connecticut,Nutrition,School Nutrition,DNPAO,Community,"Farms, Food and Jobs",Enacted,H5419,1
3299,2013,1,GA,Georgia,Nutrition,Fruits and Vegetables,DNPAO,Community,United Against Childhood Obesity Day at the Capitol,Enacted,HR862,1
3300,2007,1,TN,Tennessee,Nutrition,Farm Direct Foods,DNPAO,School/After School,Department of Education,Enacted,S3341,1
3301,2010,1,TN,Tennessee,Obesity,Appropriations,DNPAO,Community,Public Planning,Dead,H2711,3
3302,2010,1,CO,Colorado,Nutrition,Task Forces/Councils,DNPAO,School/After School,Campaign to End Childhood Hunger By 2015,Enacted,EO29,1
3303,2011,1,MN,Minnesota,Nutrition,Appropriations,DNPAO,Community,Agricultural Property Taxation,Dead,S37,3
3304,2009,1,NC,North Carolina,Nutrition,Agriculture and Farming,DNPAO,Community,Technical Assistance Healthy Lifestyle,Dead,H1467,3
3305,2009,1,OK,Oklahoma,Obesity,Appropriations,DNPAO,School/After School,Safe Routes to School,Enacted,S399,1
3306,2009,1,MA,Massachusetts,Nutrition,Medical Care,DNPAO,Community,Slope Resources Areas,Enacted,R9588,1
3307,2009,1,MT,Montana,Nutrition,Agriculture and Farming,DNPAO,Community,Produce Inspection Requirements,Dead,D622,3
3308,2013,1,NY,New York,Physical Activity,Initiatives and Programs,DNPAO,Community,New York State Smart Growth Interagency Task Force,Introduced,AB4949,0
3309,2009,1,NY,New York,Nutrition,Food Security,DNPAO,Restaurant/Retail,Posting of Calorie Content,Dead,S5665,3
3310,2011,1,LA,Louisiana,Nutrition,Access to Healthy Foods,DNPAO,Community,An Act Relating to Appropriations<br>,Enacted,H1,1
3311,2011,1,VT,Vermont,Obesity,Incentives,DNPAO,Community,Green Mountain Care,Dead,H146,3
3312,2010,1,HI,Hawaii,Nutrition,School Nutrition,DNPAO,School/After School,Statewide Plan to Implement Waste of Milk,Dead,HR14,3
3313,2010,1,MD,Maryland,Nutrition,Agriculture and Farming,DNPAO,Restaurant/Retail,Agricultural Product Sales,Dead,H166,3
3314,2011,1,AR,Arkansas,Nutrition,Appropriations,DNPAO,Restaurant/Retail,Cottage Food and Farmers Market Permit Exemptions,Enacted,H1323,1
3315,2007,1,CA,California,Nutrition,Disparities/Equity,DNPAO,School/After School,Education,Enacted,S80,1
3316,2011,1,CO,Colorado,Obesity,Body Mass Index (BMI),DNPAO,Community,Surface Transportation Funding,Dead,S95,3
3317,2010,1,NJ,New Jersey,Nutrition,Appropriations,DNPAO,Community,State Budget,Dead,A3000,3
3318,2010,1,AL,Alabama,Nutrition,Incentives,DNPAO,Restaurant/Retail,Taxation,Dead,S212,3
3319,2011,1,IL,Illinois,Physical Activity,Built Environment and Street-Scale Design,DNPAO,Community,Road Funds,Dead,S1258,3
3320,2011,1,MA,Massachusetts,Nutrition,Point of Purchase Promotion,DNPAO,Community,Labeling of Genetically Engineered Food,Dead,HD2859,3
3321,2015,1,TX,Texas,Nutrition,Trans Fats,DNPAO,School/After School,Creating a program to recognize Before and After-School Programs that promote healthy eating and physical activity,Dead,HB1172,3
3322,2009,1,WV,West Virginia,Nutrition,Medical Care,DNPAO,School/After School,Patient Centered Medical Homes Pilot Projects,Enacted,S414,1
3323,2011,1,TX,Texas,Obesity,Food Restrictions,DNPAO,Community,Regulation of Food Sold at Farmers Markets.,Dead,H3387,3
3324,2009,1,NJ,New Jersey,Obesity,Appropriations,DNPAO,Community,Smart Housing Incentives Act,Dead,S2505,3
3325,2010,1,CT,Connecticut,Nutrition,Farm Direct Foods,DNPAO,Community,"Farms, Food and Jobs",Enacted,H5419,1
3326,2005,1,AL,Alabama,Physical Activity,Appropriations,DNPAO,School/After School,Public Education and School Readiness,Enacted,H248,1
3327,2011,1,MN,Minnesota,Physical Activity,"Parks, Recreation and Trails",DNPAO,Community,Transportation,Dead,S1136,3
3328,2010,1,NY,New York,Obesity,Appropriations,DNPAO,School/After School,Qualified School Construction Bonds,Enacted,R21731,1
3329,2011,1,HI,Hawaii,Obesity,Incentives,DNPAO,Medical and/or Hospital,Medicaid,Dead,H569,3
3330,2011,1,SC,South Carolina,Nutrition,Farm Direct Foods,DNPAO,School/After School,Local Food in Schools,Dead,S812,3
3331,2011,1,MT,Montana,Nutrition,Appropriations,DNPAO,Early Care and Education,Day Care Licensing Requirements,Dead,H267,3
3332,2007,1,LA,Louisiana,Nutrition,Fruits and Vegetables,DNPAO,Community,An Act Making Appropriations   <br>,Enacted,H1,1
3333,2010,1,NC,North Carolina,Physical Activity,Task Forces/Councils,DNPAO,School/After School,Child Nutrition Program Study,Enacted,S1152,1
3334,2011,1,NY,New York,Physical Activity,Initiatives and Programs,DNPAO,Work Place,An Act to Create a Task Force on Occupational Wellness <br>,Dead,S3962,3
3335,2010,1,NJ,New Jersey,Nutrition,Farm Direct Foods,DNPAO,Restaurant/Retail,Milk Coupons,Dead,A2431,3
3336,2011,1,ME,Maine,Nutrition,Appropriations,DNPAO,Community,Raw Milk Sales,Dead,H292,3
3337,2011,1,NM,New Mexico,Nutrition,Food Assistance Programs,DNPAO,Community,Public Assistance,Dead,H210,3
3338,2011,1,WA,Washington,Nutrition,Point of Purchase Promotion,DNPAO,Community,State Route Number,Dead,H1917,3
3339,2011,1,TX,Texas,Physical Activity,Pedestrians/Walking,DNPAO,Community,Rowlett Waterfront Entertainment Management District,Dead,S235,3
3340,2009,1,OH,Ohio,Nutrition,Medical Care,DNPAO,Community,Safe Passing Distance Between Motor Vehicle and Bicycle,Dead,S174,3
3341,2009,1,NY,New York,Nutrition,Trans Fats,DNPAO,Community,Food Service Warning,Dead,S3572,3
3342,2011,1,HI,Hawaii,Nutrition,Liability and Indemnity,DNPAO,Community,Development Infrastructure,Dead,S1184,3
3343,2004,1,IL,Illinois,Nutrition,School Nutrition,DNPAO,School/After School,House Resolution,Enacted,HR594,1
3344,2009,1,OK,Oklahoma,Nutrition,Food Security,DNPAO,Restaurant/Retail,Public Health And Safety,Dead,S1135,3
3345,2011,1,MS,Mississippi,Nutrition,Task Forces/Councils,DNPAO,School/After School,Sweetened Beverages and Syrups Tax,Dead,H414,3
3346,2010,1,MS,Mississippi,Obesity,Appropriations,DNPAO,School/After School,Healthier School Initiative,Enacted,H1078,1
3347,2011,1,PA,Pennsylvania,Nutrition,Sodium,DNPAO,School/After School,School Foods Reform,Dead,H1724,3
3348,2011,1,TX,Texas,Nutrition,Food Assistance Programs,DNPAO,School/After School,Interagency Obesity Council,Dead,S1454,3
3349,2012,1,NJ,New Jersey,Nutrition,Food Assistance Programs,DNPAO,Community,An Act Concerning Funding of the New Jersey Food Access Initiative<br>,Dead,A1397,3
3350,2009,1,TX,Texas,Nutrition,Appropriations,DNPAO,School/After School,Farm to School Coordination Task Force,Enacted,S1027,1
3351,2010,1,LA,Louisiana,Obesity,Appropriations,DNPAO,Community,Health,Dead,H1152,3
3352,2009,1,MD,Maryland,Obesity,Appropriations,DNPAO,Community,State Facilities,Enacted,EO11,1
3353,2011,1,AR,Arkansas,Nutrition,Liability and Indemnity,DNPAO,School/After School,Childhood Education Appropriation,Dead,H1671,3
3354,2009,1,LA,Louisiana,Physical Activity,Incentives,DNPAO,Community,Video Games Tax,Dead,H109,3
3355,2011,1,FL,Florida,Obesity,Initiatives and Programs,DNPAO,Community,Chronic Diseases<br>,Dead,S526,3
3356,2010,1,CO,Colorado,Nutrition,Appropriations,DNPAO,School/After School,Campaign to End Childhood Hunger By 2015,Enacted,EO28,1
3357,2011,1,MD,Maryland,Nutrition,Vending,DNPAO,School/After School,Maryland Combating Childhood Obesity Grant Program,Dead,S829,3
3358,2010,1,FL,Florida,Physical Activity,Built Environment and Street-Scale Design,DNPAO,Community,Spring Lake Improvement District Highlands County,Enacted,H1487,1
3359,2010,1,DC,District of Columbia,Nutrition,School Nutrition,DNPAO,Medical and/or Hospital,Hospital and Medical Services Corporation,Enacted,B567,1
3360,2011,1,NY,New York,Nutrition,Trans Fats,DNPAO,Community,Tax Increment Bonds,Dead,A4778,3
3361,2012,3,CA,California,Nutrition,Farmers Markets,DNPAO,Community,Food Literacy Awareness Month,Enacted,ACR161,1
3362,2010,1,IL,Illinois,Physical Activity,Bicycling,DNPAO,Community,Department Of Commerce And Economic Opportunity,Dead,H6797,3
3363,2011,1,HI,Hawaii,Nutrition,Incentives,DNPAO,Community,Resolution<br>,Enacted,HR27,1
3364,2009,1,MI,Michigan,Nutrition,Appropriations,DNPAO,School/After School,School Nutrition,Dead,S232,3
3365,2009,1,MD,Maryland,Physical Activity,Built Environment and Street-Scale Design,DNPAO,Community,Vehicle Laws,Dead,H1023,3
3366,2010,1,FL,Florida,Physical Activity,Built Environment and Street-Scale Design,DNPAO,Community,Growth Management,Dead,S1742,3
3367,2008,1,VA,Virginia,Nutrition,Incentives,DNPAO,Medical and/or Hospital,Chronic Diseases,Enacted,SJR325,1
3368,2011,1,MT,Montana,Nutrition,Disparities/Equity,DNPAO,School/After School,Recommendations on Reducing Childhood Hunger,Dead,D1088,3
3369,2015,1,NY,New York,Obesity,Body Mass Index (BMI),DNPAO,Early Care and Education,Trans fat reduction; breastfeeding rights; BMI in schools; PE/PA requirements; Bicycle parking,Introduced,AB6548,0
3370,2013,1,DC,District of Columbia,Nutrition,School Nutrition,DNPAO,School/After School,Healthy Tots Act of 2013,Introduced,B407,0
3371,2006,1,DC,District of Columbia,Nutrition,Food Security,DNPAO,Community,Resolution<br>,Enacted,R602,1
3372,2009,1,CA,California,Nutrition,Farmers Markets,DNPAO,Restaurant/Retail,Agriculture: Victory Garden Growers,Dead,S362,3
3373,2011,1,MA,Massachusetts,Nutrition,Access to Healthy Foods,DNPAO,Restaurant/Retail,Labeling of Genetically Engineered Food,Dead,HD2859,3
3374,2009,1,MN,Minnesota,Nutrition,Media Campaigns,DNPAO,School/After School,Capital Improvements,Dead,H2264,3
3375,2009,1,TN,Tennessee,Obesity,Menu Labeling,DNPAO,Restaurant/Retail,Food and Food Products,Dead,S2314,3
3376,2011,1,VA,Virginia,Nutrition,Task Forces/Councils,DNPAO,Restaurant/Retail,Agency Meals Food Standards,Dead,H1484,3
3377,2007,1,ME,Maine,Physical Activity,Public Transportation,DNPAO,Community,Passenger Rail Funding,Enacted,H1403,1
3378,2010,1,KY,Kentucky,Nutrition,Point of Purchase Promotion,DNPAO,Restaurant/Retail,Restaurant Display of Caloric Information,Dead,H246,3
3379,2011,1,MS,Mississippi,Obesity,Task Forces/Councils,DNPAO,School/After School,Sweetened Beverages and Syrups Tax,Dead,H414,3
3380,2009,1,PA,Pennsylvania,Nutrition,Food Security,DNPAO,Restaurant/Retail,Agriculture Code,Dead,S1179,3
3381,2011,1,HI,Hawaii,Nutrition,Appropriations,DNPAO,Community,Agriculture,Dead,H1569,3
3382,2011,1,HI,Hawaii,Nutrition,Task Forces/Councils,DNPAO,Work Place,Tax Credits,Dead,H409,3
3383,2009,1,IL,Illinois,Obesity,Food Restrictions,DNPAO,Community,Arthritis Prevention and Control,Dead,S1494,3
3384,2010,1,NH,New Hampshire,Obesity,Body Mass Index (BMI),DNPAO,Community,Transportation Policy,Dead,S316,3
3385,2015,1,WA,Washington,Physical Activity,Public Transportation,DNPAO,Community,Workforce Housing Near Public Transit,Introduced,SB5208,0
3386,2010,1,MN,Minnesota,Obesity,Appropriations,DNPAO,Community,Capital Investment,Dead,S2556,3
3387,2011,1,MO,Missouri,Nutrition,Appropriations,DNPAO,School/After School,Commission on Prevention and Management of Obesity,Dead,H57,3
3388,2007,1,MN,Minnesota,Nutrition,Task Forces/Councils,DNPAO,School/After School,Education,Enacted,H2245,1
3389,2009,1,WV,West Virginia,Physical Activity,Bicycling,DNPAO,Community,Planning and Development of State Roads,Dead,H2917,3
3390,2009,1,MA,Massachusetts,Nutrition,Appropriations,DNPAO,Community,School Nutrition,Dead,H2092,3
3391,2011,1,IL,Illinois,Nutrition,Farmers Markets,DNPAO,Community,Task Force on Farmers' Markets,Enacted,HJR19,1
3392,2010,1,NM,New Mexico,Nutrition,Food Assistance Programs,DNPAO,Community,Taxation and Food Purchases,Dead,S10,3
3393,2011,1,PA,Pennsylvania,Physical Activity,Pedestrians/Walking,DNPAO,Community,Pennsylvania Municipalities Planning Code,Dead,S422,3
3394,2009,1,LA,Louisiana,Nutrition,Incentives,DNPAO,Community,Healthy Food Retail,Enacted,S299,1
3395,2011,1,GA,Georgia,Physical Activity,Public Safety,DNPAO,Community,Mortgages and Liens,Dead,H110,3
